RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,N_penalty,O_penalty,D_penalty
NC_020302,Corynebacterium halotolerans YIM 70093 = DSM 44683 chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(3134836.0, 3135752.0)","(1720.0, 2516.0)",,,3135752,False,"(21220, 21720)",21470,"(1518982, 1519482)",1519232.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[502450, 12060]"
NC_022792,Pseudothermotoga elfii DSM 9442 = NBRC 107921 DNA,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Pseudothermotoga","(148488.0, 148995.0)",,,,2169860,False,"(251163, 251663)",251413,"(718717, 719217)",718967.0,,,,,,,,,,,,,,,"[0.0, 0.0]",200,"[427970, 53690]"
NC_022795,Pseudothermotoga hypogea DSM 11164 = NBRC 106472 DNA,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Pseudothermotoga","(330179.0, 330712.0)",,,,2165165,True,"(1106886, 1107386)",1107136,"(155128, 155628)",155378.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[277610, 558250]"
NZ_FO082820,"Rhizobium sp. NT-26 chromosome, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Rhizobium","(3776166.0, 3776563.0)",,,,4239731,False,"(3787163, 3787663)",3787413,"(2702586, 2703086)",2702836.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[363380, 265650]"
NZ_CP011058,"Paenibacillus beijingensis strain DSM 24997, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus","(2272992.0, 2273920.0)",,,,5749967,False,"(2276960, 2277460)",2277210,,,,,,,,,,,,,,,,,[0.0],0,[61670]
NC_016887,Nocardia cyriacigeorgica GUH-2,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Nocardiaceae, Nocardia","(6194197.0, 425.0)","(2592.0, 3520.0)",,,6194645,True,"(5998437, 5998937)",5998687,"(5321099, 5321599)",5321349.0,"(3634216, 3634716)",3634466.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[85140, 20050, 522710]"
NC_018664,Clostridium acidurici 9a chromosome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3104977.0, 100.0)","(1436.0, 1682.0)",,,3105335,False,"(3105109, 275)",25,,,,,,,,,,,,,,,,,[0.0],200,[470]
NZ_CP014646,"Thauera humireducens strain SgZ-1, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Zoogloeaceae, Thauera","(3170564.0, 3170950.0)",,,,4171754,False,"(3087823, 3088323)",3088073,,,,,,,,,,,,,,,,,[0.0],0,[194090]
NC_021085,Propionibacterium acnes HL096PA1,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Propionibacterineae, Propionibacteriaceae, Propionibacterium","(2493934.0, 244.0)",,,,2494190,False,"(2491628, 2492128)",2491878,,,,,,,,,,,,,,,,,[0.0],0,[5940]
NZ_CP011853,Gordonia sp. QH-11,"Bacteria, Actinobacteria, Corynebacteriales, Gordoniaceae, Gordonia","(1598.0, 2171.0)","(4428359.0, 4428680.0)",,,4428727,True,"(37016, 37516)",37266,"(4123, 4623)",4373.0,"(3253171, 3253671)",3253421.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[528230, 47310, 129650]"
NZ_AP014862,"Pseudomonas pseudoalcaligenes KF707 = NBRC 110670 DNA, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas oleovorans/pseudoalcaligenes group","(1.0, 526.0)",,,,6183134,False,"(6165616, 6166116)",6165866,"(5572108, 5572608)",5572358.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[6920, 130890]"
NZ_AP012331,"Bifidobacterium scardovii JCM 12489 = DSM 13734 DNA, complete genome.","Bacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium","(3158037.0, 3158347.0)","(1552.0, 2135.0)",,,3158347,False,"(978, 1478)",1228,,,,,,,,,,,,,,,,,[0.0],0,[35290]
NZ_AP012334,"Scardovia inopinata JCM 12537 DNA, complete genome.","Bacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Scardovia","(1797409.0, 15.0)","(1720.0, 2327.0)",,,1797862,False,"(1795164, 1795664)",1795414,,,,,,,,,,,,,,,,,[0.0],0,[47970]
NC_017059,Rhodospirillum photometricum DSM 122,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Rhodospirillum","(2845937.0, 2847851.0)",,,,3876289,False,"(3441312, 3441812)",3441562,"(85597, 86097)",85847.0,"(3805705, 3806205)",3805955.0,,,,,,,,,,,,,"[0.0002579787007625076, 0.0002579787007625076, 0.0002579787007625076]",0,"[480780, 12440, 249560]"
NZ_CP007201,Sulfurospirillum multivorans DSM 12446,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales,Campylobacteraceae, Sulfurospirillum","(1.0, 157.0)",,,,3175729,False,"(3175333, 103)",3175583,"(2886468, 2886968)",2886718.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[74550, 4280]"
NZ_CP015613,"Serratia plymuthica PRI-2C chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Serratia","(5443273.0, 5443653.0)",,,,5474685,False,"(5440413, 5440913)",5440663,,,,,,,,,,,,,,,,,[0.0],0,[96300]
NZ_CP016337,"Kosakonia sacchari strain BO-1 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Kosakonia","(3151668.0, 3152039.0)",,,,4902106,False,"(3150784, 3151284)",3151034,,,,,,,,,,,,,,,,,[0.0],300,[29630]
NC_018406,Mycoplasma gallisepticum VA94_7994-1-7P chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(964089.0, 1886.0)",,,,964110,True,"(867187, 867687)",867437,"(205460, 205960)",205710.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[432050, 422790]"
NZ_CP013940,"Cronobacter malonaticus LMG 23826, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Cronobacter","(4111173.0, 4111552.0)",,,,4294639,False,"(10786, 11286)",11036,"(1107787, 1108287)",1108037.0,"(4085563, 4086063)",4085813.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[267300, 72060, 357160]"
NZ_CP012266,"Cronobacter dublinensis subsp. dublinensis LMG 23823, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Cronobacter","(4430705.0, 17.0)",,,,4431067,False,"(4426890, 4427390)",4427140,"(423092, 423592)",423342.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[78520, 351240]"
NZ_CP012268,"Cronobacter muytjensii ATCC 51329, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Cronobacter","(4050792.0, 4051171.0)",,,,4364114,False,"(4076195, 4076695)",4076445,,,,,,,,,,,,,,,,,[0.0],0,[355190]
NC_017094,Leptospirillum ferrooxidans C2-3,"Bacteria, Nitrospirae, Nitrospirales, Nitrospiraceae, Leptospirillum","(2558885.0, 2559538.0)",,,,2559538,False,"(2557110, 2557610)",2557360,,,,,,,,,,,,,,,,,[0.0],0,[42250]
NC_022357,Sulfuricella denitrificans skB26 DNA,"Bacteria, Proteobacteria, Betaproteobacteria, Hydrogenophilales, Hydrogenophilaceae, Sulfuricella","(3129666.0, 13.0)","(1343.0, 1528.0)",,,3130594,False,"(3129496, 3129996)",3129746,"(327896, 328396)",328146.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[16480, 123150]"
NC_017735,Helicobacter cetorum MIT 99-5656 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(958734.0, 960543.0)",,,,1833666,False,"(982117, 982617)",982367,,,,,,,,,,,,,,,,,[0.0],0,[581610]
NC_017067,Marinobacter hydrocarbonoclasticus ATCC 49840,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Marinobacter","(3989477.0, 222.0)",,,,3989480,False,"(3987623, 3988123)",3987873,,,,,,,,,,,,,,,,,[0.0],0,[32520]
NC_021064,Propionibacterium avidum 44067,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Propionibacterineae, Propionibacteriaceae, Propionibacterium","(2310348.0, 2310912.0)",,,,2526138,False,"(1734, 2234)",1984,,,,,,,,,,,,,,,,,[0.0],0,[1550]
NC_017761,Helicobacter cinaedi PAGU611,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(2078212.0, 2078348.0)",,,,2078348,True,"(1152234, 1152734)",1152484,"(702307, 702807)",702557.0,,,,,,,,,,,,,,,"[0.0, 0.0]",200,"[6440, 113290]"
NC_019753,Crinalium epipsammum PCC 9333,"Bacteria, Cyanobacteria, Oscillatoriales, Crinalium","(1429.0, 1715.0)",,,,5315554,True,"(276548, 277048)",276798,"(761472, 761972)",761722.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[414940, 385430]"
NC_019738,Microcoleus sp. PCC 7113,"Bacteria, Cyanobacteria, Oscillatoriales, Microcoleus","(1701.0, 2145.0)",,,,7470429,False,"(1932428, 1932928)",1932678,,,,,,,,,,,,,,,,,[0.0],0,[181820]
NC_021880,Anaplasma phagocytophilum str. JM,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Anaplasma, phagocytophilum group","(20557.0, 20941.0)",,,,1481598,False,"(1481518, 421)",171,"(1324478, 1324978)",1324728.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[3360, 514560]"
NZ_CP015750,"Pectobacterium wasabiae CFBP 3304, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pectobacteriaceae, Pectobacterium","(1734417.0, 1734807.0)",,,,5043228,False,"(5026108, 5026608)",5026358,,,,,,,,,,,,,,,,,[0.0],0,[333160]
NC_022600,Gloeobacter sp. JS,"Bacteria, Cyanobacteria, Gloeobacteria, Gloeobacterales, Gloeobacter","(1291801.0, 1292241.0)",,,,4724791,True,"(1323174, 1323674)",1323424,"(1847201, 1847701)",1847451.0,"(2284540, 2285040)",2284790.0,"(3379428, 3379928)",3379678.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[231350, 452960, 161430, 61100]"
NC_020813,Bdellovibrio exovorus JSS,"Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio","(1396.0, 1606.0)",,,,2657893,False,"(2648563, 2649063)",2648813,,,,,,,,,,,,,,,,,[0.0],0,[181610]
NZ_CP016534,"Planococcus antarcticus DSM 14505, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Planococcus","(3765056.0, 3765545.0)","(1345.0, 1515.0)",,,3765545,False,"(4306, 4806)",4556,,,,,,,,,,,,,,,,,[0.0],0,[82170]
NZ_CP022203,Myxococcus macrosporus DSM 14697 chromosome,"Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales,Cystobacterineae, Myxococcaceae, Myxococcus","(27600.0, 27964.0)",,,,8973512,False,"(19897, 20397)",20147,,,,,,,,,,,,,,,,,[0.0],0,[171080]
NC_018178,Melioribacter roseus P3M chromosome,"Bacteria, Ignavibacteria, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Melioribacter","(1202105.0, 1202407.0)","(1200303.0, 1200691.0)",,,3300414,True,"(3293493, 3293993)",3293743,"(1578167, 1578667)",1578417.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[95610, 562990]"
NZ_CP018632,"Granulosicoccus antarcticus IMCC3135, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Granulosicoccaceae, Granulosicoccus","(1694.0, 1955.0)",,,,7783862,False,"(3267, 3767)",3517,,,,,,,,,,,,,,,,,[0.0],0,[54360]
NZ_CP017111,Sulfurospirillum halorespirans DSM 13726 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales,Campylobacteraceae, Sulfurospirillum","(3029840.0, 157.0)",,,,3029840,False,"(3029395, 54)",3029645,,,,,,,,,,,,,,,,,[0.0],0,[5270]
NC_019566,Thalassobaculum sp. L2 chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Candidatus Endolissoclinum","(1481175.0, 400.0)",,,,1481191,False,"(701129, 701629)",701379,,,,,,,,,,,,,,,,,[0.0],0,[38440]
NZ_CP007445,"Gilliamella apicola strain wkB1, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Orbales, Orbaceae, Gilliamella","(1.0, 942.0)",,,,3139412,False,"(3138782, 3139282)",3139032,,,,,,,,,,,,,,,,,[0.0],0,[33070]
NC_018149,Mycoplasma wenyonii str. Massachusetts chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(650129.0, 174.0)",,,,650228,True,"(120159, 120659)",120409,"(561556, 562056)",561806.0,"(317605, 318105)",317855.0,"(89640, 90140)",89890.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[377550, 238810, 404640, 205730]"
NZ_CP016757,"Cloacibacillus porcorum strain CL-84 chromosome, complete genome.","Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Cloacibacillus","(3584800.0, 323.0)","(1659.0, 1887.0)",,,3585187,False,"(3573104, 3573604)",3573354,"(2290403, 2290903)",2290653.0,,,,,,,,,,,,,,,"[2.789254786430945e-05, 2.789254786430945e-05]",0,"[334100, 242850]"
NC_021870,Salmonella bongori N268-08,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(3927084.0, 3927461.0)",,,,4683551,False,"(3930845, 3931345)",3931095,,,,,,,,,,,,,,,,,[0.0],0,[80290]
NC_015064,Acidobacterium sp. MP5ACTX9 chromosome,"Bacteria, Acidobacteria, Acidobacteriales, Acidobacteriaceae, Acidobacterium","(2438.0, 3077.0)",,,,4309153,True,"(4309022, 370)",120,"(400109, 400609)",400359.0,"(1031010, 1031510)",1031260.0,"(2607348, 2607848)",2607598.0,"(4197150, 4197650)",4197400.0,,,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0]",0,"[620, 170, 71400, 700, 600]"
NC_018419,Secondary endosymbiont of Ctenarytaina eucalypti chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, aphid secondary symbionts","(973897.0, 976015.0)","(970051.0, 971979.0)",,,1441139,False,"(676776, 677276)",677026,,,,,,,,,,,,,,,,,[0.0],200,[260280]
NC_021663,Corynebacterium terpenotabidum Y-11,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(2750411.0, 2751233.0)","(1618.0, 2342.0)",,,2751233,False,"(18022, 18522)",18272,"(2450429, 2450929)",2450679.0,"(259678, 260178)",259928.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[30, 217460, 124040]"
NZ_CP011883,"Mycobacterium haemophilum DSM 44634 strain ATCC 29548, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium","(1528.0, 2057.0)",,,,4235765,False,"(13107, 13607)",13357,,,,,,,,,,,,,,,,,[0.0],0,[200170]
NC_018416,Candidatus Carsonella ruddii HC isolate Thao2000 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Candidatus Carsonella","(154894.0, 155208.0)",,,,166163,False,"(134460, 134960)",134710,,,,,,,,,,,,,,,,,[0.0],0,[405400]
NC_018507,Candidatus Portiera aleyrodidarum BT-B chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Zymobacter group, whitefly endosymbionts, Candidatus Portiera","(37960.0, 40975.0)",,,,358242,True,"(189096, 189596)",189346,"(1264, 1764)",1514.0,"(226564, 227064)",226814.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[515850, 233510, 402570]"
NC_020283,Candidatus Kinetoplastibacterium crithidii TCC036E,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(817549.0, 817826.0)",,,,821930,False,"(819131, 819631)",819381,,,,,,,,,,,,,,,,,[0.0],300,[37040]
NC_020294,Candidatus Kinetoplastibacterium desouzaii TCC079E,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(828463.0, 828989.0)",,,,833125,False,"(830633, 831133)",830883,,,,,,,,,,,,,,,,,[0.0],300,[37090]
NC_020299,Candidatus Kinetoplastibacterium oncopeltii TCC290E,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(805803.0, 806024.0)",,,,810172,False,"(23689, 24189)",23939,,,,,,,,,,,,,,,,,[0.0],0,[566390]
NC_020284,Candidatus Kinetoplastibacterium galatii TCC219,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(817752.0, 817973.0)",,,,822140,False,"(583556, 584056)",583806,,,,,,,,,,,,,,,,,[0.0],200,[1740]
NC_019814,Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis) chromosome,"Bacteria, Proteobacteria, Betaproteobacteria, Kinetoplastibacterium","(166548.0, 166765.0)",,,,820037,False,"(811356, 811856)",811606,,,,,,,,,,,,,,,,,[0.0],0,[166270]
NC_015519,Tepidanaerobacter sp. Re1 chromosome,"Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Tepidanaerobacter","(1453.0, 1711.0)",,,,2759867,False,"(2754021, 2754521)",2754271,,,,,,,,,,,,,,,,,[0.0],0,[114440]
NC_021505,Pseudomonas putida NBRC 14164 DNA,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6156490.0, 384.0)",,,,6156701,False,"(6146723, 6147223)",6146973,,,,,,,,,,,,,,,,,[0.0],0,[221350]
NZ_LN614827,"Legionella fallonii LLAP-10 genome assembly LFA, chromosome : I.","Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella","(4180749.0, 643.0)",,,,4181563,False,"(4171452, 4171952)",4171702,,,,,,,,,,,,,,,,,[0.0],0,[159650]
NC_021985,Streptomyces collinus Tu 365,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(4409139.0, 4410163.0)",,,,8272925,False,"(17803, 18303)",18053,"(3635361, 3635861)",3635611.0,"(2184083, 2184583)",2184333.0,"(2910205, 2910705)",2910455.0,"(4418370, 4418870)",4418620.0,,,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0]",300,"[9270, 29420, 6260, 12810, 138290]"
NZ_CP022657,"Tumebacillus algifaecis strain THMBR28 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Alicyclobacillaceae, Tumebacillus","(40675.0, 41225.0)","(39047.0, 39306.0)",,,4516965,False,"(8117, 8617)",8367,,,,,,,,,,,,,,,,,[0.0],0,[167530]
NZ_CP016537,"Planococcus halocryophilus strain DSM 24743, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Planococcus","(3424404.0, 3424893.0)","(1345.0, 1517.0)",,,3424893,False,"(4334, 4834)",4584,,,,,,,,,,,,,,,,,[0.0],0,[82720]
NC_021915,Corynebacterium maris DSM 45190,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(2786704.0, 2787574.0)","(1642.0, 2307.0)",,,2787574,False,"(2782769, 2783269)",2783019,,,,,,,,,,,,,,,,,[0.0],0,[24460]
NZ_CP004353,"Corynebacterium vitaeruminis DSM 20294, complete genome.","Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium","(2930852.0, 2931780.0)","(1675.0, 2305.0)",,,2931780,False,"(25510, 26010)",25760,"(549794, 550294)",550044.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[4060, 430840]"
NZ_CP013124,"Pseudomonas mendocina S5.2, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(1.0, 519.0)",,,,5120146,True,"(7335, 7835)",7585,"(5089727, 5090227)",5089977.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[211980, 543070]"
NC_018695,Burkholderia phenoliruptrix BR3459a chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(4102575.0, 4103447.0)",,,,4152217,False,"(4106143, 4106643)",4106393,"(397544, 398044)",397794.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[394840, 120430]"
NC_020510,Blattabacterium sp. (Panesthia angustipennis spadica) str. BPAA DNA,"Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Blattabacteriaceae, Blattabacterium","(120159.0, 120635.0)",,,,632490,False,"(626270, 626770)",626520,"(377665, 378165)",377915.0,"(257284, 257784)",257534.0,"(225980, 226480)",226230.0,"(131958, 132458)",132208.0,,,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0]",0,"[174050, 326060, 305680, 452020, 103800]"
NC_018631,Leuconostoc gelidum JB7 chromosome,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostoc","(1893009.0, 1893499.0)",,,,1893499,False,"(1892053, 1892553)",1892303,,,,,,,,,,,,,,,,,[0.0],0,[23930]
NZ_CP011361,"Salimicrobium jeotgali strain MJ3, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Salimicrobium","(6492.0, 7102.0)","(4973.0, 5147.0)",,,2698725,False,"(2698571, 347)",97,,,,,,,,,,,,,,,,,[0.0],0,[1940]
NC_018605,Cardinium endosymbiont cEper1 of Encarsia pergandiella,"Bacteria, Bacteroidetes, Candidatus Cardinium","(353842.0, 354436.0)",,,,887130,False,"(310489, 310989)",310739,"(885118, 885618)",885368.0,"(694015, 694515)",694265.0,,,,,,,,,,,,,"[0.006876106094935353, 0.006876106094935353, 0.006876106094935353]",0,"[509060, 102500, 510360]"
NC_021352,Corynebacterium glutamicum SCgG2,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(1576.0, 2291.0)",,,,3350619,False,"(9147, 9647)",9397,,,,,,,,,,,,,,,,,[0.0],0,[112700]
NC_020127,Lawsonia intracellularis N343,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Lawsonia","(983346.0, 984087.0)",,,,1457568,False,"(977254, 977754)",977504,,,,,,,,,,,,,,,,,[0.0],300,[41470]
NZ_CP022753,"Nocardiopsis gilva YIM 90087 chromosome, complete genome.","Bacteria, Actinobacteria, Streptosporangiales, Nocardiopsaceae, Nocardiopsis","(402126.0, 402702.0)","(399578.0, 400427.0)",,,6142152,False,"(424537, 425037)",424787,"(4857688, 4858188)",4857938.0,"(976537, 977037)",976787.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[374260, 202200, 96280]"
NC_021089,Wolbachia endosymbiont of Drosophila simulans wHa,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Wolbachieae, Wolbachia","(1017367.0, 1017768.0)",,,,1295804,True,"(340757, 341257)",341007,"(725686, 726186)",725936.0,"(587531, 588031)",587781.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[422390, 51160, 82360]"
NZ_CP006569,"Sodalis praecaptivus strain HS1, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pectobacteriaceae, Sodalis","(4709514.0, 350.0)",,,,4709528,False,"(4705948, 4706448)",4706198,,,,,,,,,,,,,,,,,[0.0],0,[72820]
NC_019949,Mycoplasma cynos C142 complete genome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(997788.0, 356.0)",,,,998123,True,"(2160, 2660)",2410,"(664321, 664821)",664571.0,"(124075, 124575)",124325.0,"(538194, 538694)",538444.0,"(902501, 903001)",902751.0,,,,,,,,,"[0.0001001880529754349, 0.0001001880529754349, 0.0001001880529754349, 0.0001001880529754349, 0.0001001880529754349]",0,"[327620, 355340, 310240, 52310, 450900]"
NC_022657,Actinoplanes friuliensis DSM 7358,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micromonosporineae, Micromonosporaceae, Actinoplanes","(1882.0, 4899.0)",,,,9376071,False,"(9350988, 9351488)",9351238,"(994313, 994813)",994563.0,"(8541049, 8541549)",8541299.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[491020, 292140, 370970]"
NZ_CP003915,"Advenella mimigardefordensis DPN7, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae","(4690015.0, 4690292.0)",,,,4740516,False,"(4717206, 4717706)",4717456,,,,,,,,,,,,,,,,,[0.0],0,[551110]
NZ_CP009056,"Frischella perrara strain PEB0191, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Orbales, Orbaceae, Frischella","(1.0, 642.0)",,,,2692351,False,"(2154, 2654)",2404,,,,,,,,,,,,,,,,,[0.0],0,[45570]
NZ_CP004078,"Paenibacillus sabinae T27, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus","(5269991.0, 87.0)",,,,5270569,False,"(882, 1382)",1132,,,,,,,,,,,,,,,,,[5.691985058918686e-05],0,[28890]
NC_021846,Spiroplasma taiwanense CT-1,"Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1074849.0, 1075140.0)",,,,1075140,False,"(1074897, 258)",8,,,,,,,,,,,,,,,,,[0.0],200,[140]
NC_021833,Spiroplasma diminutum CUAS-1,"Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(945023.0, 945296.0)",,,,945296,False,"(945102, 307)",57,,,,,,,,,,,,,,,,,[0.0],200,[830]
NC_021280,Spiroplasma chrysopicola DF-1,"Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1123109.0, 182.0)",,,,1123322,False,"(1122656, 1123156)",1122906,,,,,,,,,,,,,,,,,[0.0],0,[8310]
NC_021284,Spiroplasma syrphidicola EA-1,"Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1107132.0, 181.0)",,,,1107344,False,"(1107167, 324)",74,,,,,,,,,,,,,,,,,[0.0],200,[1410]
